Month,Year,Price
2,2018,53.68
1,2018,50.84
12,2017,56.18
11,2017,51.45
10,2017,46.68
9,2017,47.17
8,2017,43.34
7,2017,43.05
6,2017,39.68
5,2017,41.24
4,2017,42.1
3,2017,41.99
2,2017,49.49
1,2017,53.37
12,2016,49.87
11,2016,67.54
10,2016,56.03
9,2016,51.13
8,2016,36.51
7,2016,38.4
6,2016,37.51
5,2016,34.61
4,2016,34.37
3,2016,34.76
2,2016,33.85
1,2016,36.95
12,2015,35.07
11,2015,38.01
10,2015,40.29
9,2015,42.04
8,2015,40.86
7,2015,42.2
6,2015,41.66
5,2015,41.21
4,2015,43.97
3,2015,40.91
2,2015,42.86
1,2015,39.86