Year,Quarter,Coal,Oil,Gas,Nuclear,Hydro,Wind,Bio,PumpStorage,Other
2006,1,47.56,2.06,29.98,20.52,1.11,1.09,2.37,-0.34,0.87
2007,1,37.02,1.22,42.82,14.12,1.94,1.65,2.26,-0.28,0.76
2008,1,33.42,1.03,47.61,13.14,1.97,2.22,2.17,-0.29,0.81
2009,1,37.81,1.88,37.27,15.4,1.56,2.6,2.52,-0.33,0.78
2010,1,30.98,1.29,47.38,16.52,0.82,2.45,2.72,-0.29,0.6
2011,1,33.36,0.81,37.66,17.67,1.3,3.35,2.92,-0.26,0.66
2012,1,40,0.63,26.72,15.62,1.82,5.22,3.49,-0.26,0.68
2013,1,39.27,0.5,26.71,16.61,1.24,7.04,3.62,-0.27,0.81
2014,1,32.78,0.49,21.39,15.01,2.23,11.55,3.94,-0.26,0.98
2015,1,28.03,0.47,23.17,16.51,2.02,12.8,6.02,-0.23,1.11
2016,1,13.89,0.4,33.56,15.75,2.03,13.02,7.41,-0.27,1.3
2017,1,9.98,0.77,36.49,16.03,1.76,14.41,7.52,-0.29,1.33
2006,2,28.55,1,33.69,18.21,0.96,0.79,2.13,-0.25,0.78
2007,2,24.1,1.03,43.47,13.73,0.84,0.93,1.96,-0.28,0.86
2008,2,26.29,1.21,41.93,11.08,0.84,1.27,2.04,-0.3,0.8
2009,2,19.1,1.03,38.11,16.45,0.91,1.99,2.27,-0.26,0.71
2010,2,18.56,0.83,44.66,12.61,0.66,1.64,2.63,-0.27,0.63
2011,2,18.1,0.51,36.32,17.4,1.13,3.6,2.66,-0.22,0.66
2012,2,29.64,0.49,24.77,16.83,0.78,4.29,2.77,-0.24,0.75
2013,2,27.37,0.42,23.76,14.05,0.96,7.19,4.41,-0.26,0.85
2014,2,20.96,0.46,23.4,15.9,1.1,6.58,4.73,-0.25,0.94
2015,2,15.11,0.33,22.95,15.37,1.44,11.45,6.08,-0.23,1.07
2016,2,4.33,0.51,33.87,15.13,0.92,11.13,6.69,-0.26,1.2
2017,2,1.48,0.3,30.62,16.2,0.81,13.99,6.66,-0.25,1.31
2006,3,26.86,1.07,35.36,17.24,0.67,1.01,2.11,-0.31,0.8
2007,3,25.62,0.81,36.55,15.73,0.94,1.19,1.98,-0.33,0.9
2008,3,22.01,1.52,43.28,10.96,0.73,1.31,2.06,-0.35,0.68
2009,3,15.57,1.03,42.07,16.1,1.13,2.12,2.22,-0.29,0.8
2010,3,18.82,1.03,40.08,11.82,0.85,2.74,2.77,-0.23,0.61
2011,3,18.17,0.7,37.88,14.31,1.22,3.07,2.9,-0.23,0.7
2012,3,27.32,0.5,22.52,16.38,1.04,4.98,3.11,-0.25,0.79
2013,3,25.21,0.54,21,16.97,0.74,5.54,3.86,-0.26,0.8
2014,3,15.07,0.4,28.68,14.22,0.77,6.7,5.23,-0.24,0.95
2015,3,12.11,0.53,26.03,15.04,1.04,9.89,6.16,-0.25,1.09
2016,3,2.55,0.38,32.07,17.13,1.13,11.96,5.34,-0.23,1.25
2017,3,2.06,0.59,28.56,16.51,1.24,13.42,6.63,-0.21,1.31
2006,4,38.52,1.29,38.73,13.26,1.82,1.35,2.49,-0.3,0.8
2007,4,42.29,1.4,39.55,13.66,1.31,1.51,2.34,-0.34,0.78
2008,4,36.33,2.13,40.17,12.49,1.57,2.35,2.32,-0.35,0.74
2009,4,25.32,1.42,46.01,14.81,1.6,2.6,2.56,-0.29,0.74
2010,4,33.9,1.16,40.34,15.49,1.21,3.4,2.69,-0.28,0.56
2011,4,33.49,0.79,31.97,13.28,1.99,5.71,3.05,-0.24,0.63
2012,4,38.9,0.66,24.25,15.12,1.62,6.54,3.57,-0.27,0.79
2013,4,31.86,0.44,22.74,16.5,1.72,10.65,3.83,-0.25,0.8
2014,4,26.26,0.37,25.8,12.77,1.74,11.24,5.8,-0.26,0.99
2015,4,16.5,0.42,25.81,16.98,1.78,13.66,7.17,-0.21,1.04
2016,4,8.21,0.46,41.34,17.14,1.19,11.67,6.58,-0.3,1.42
2017,4,7.96,0.32,35.43,15.16,1.95,18.33,6.4,-0.25,1.29