Month,Amount,Year
1,3.7,2015
2,3.5,2015
3,5.5,2015
4,7.9,2015
5,9.6,2015
6,12.7,2015
7,14.4,2015
8,14.7,2015
9,11.9,2015
10,10,2015
11,8.2,2015
12,7.9,2015
1,4.6,2016
2,3.9,2016
3,5.3,2016
4,6.5,2016
5,11.3,2016
6,13.9,2016
7,15.3,2016
8,15.5,2016
9,14.6,2016
10,9.8,2016
11,4.9,2016
12,5.9,2016
1,3.9,2017
2,5.3,2017
3,7.3,2017
4,8,2017
5,12.1,2017
6,14.5,2017
7,15.1,2017
8,14.5,2017
9,12.6,2017
10,11.2,2017
11,5.8,2017
12,4.1,2017
1,4.1,2018
2,2.4,2018
3,3.8,2018
4,8.4,2018